10,Opp,Player,UBS,LUM,PDF,GE,Top,TopB,BP,TP
KS,60.7,104.3,23.8,4,4,0,26.7,26.7,70.2,174.5
,76.1,79.4,24.6,4,4,1,19,28.6,56.8,136.2
,93.2,123,13,3,5,0,32.3,32.3,45.7,168.7
,58.5,93.5,0.7,1,3,0,28.9,29.6,35.8,129.3
,107.9,82.7,16.9,3,4,0,18.2,19.7,50,132.7
,81.4,120.7,10.9,3,7,0,24.6,26,66.7,187.4
,58.3,86.6,0,0,4,0,24.3,20.3,20.2,106.8
,110.7,106,21.1,4,4,0,30.6,26.6,64.6,170.6
,85.5,112.5,3.6,1,6,0,30.7,8.6,11.4,123.9
,94.9,117.1,1.9,1,5,0,36.6,9,21.7,138.8
MS,75.4,91.2,18.5,3,5,0,18.8,18.3,55,146.2
,59.1,82.3,13.1,2,4,0,23.8,14.7,36,118.3
,84.7,87.3,9,3,3,0,21,12.9,49.8,137.1
,121,135.5,22.2,2,7,0,25.8,23.4,35.8,171.3
,82.7,107.9,13.3,2,3,1,34.6,17.8,38.1,146
,104.9,98.9,4.7,2,5,0,18.4,19.4,28.1,127
,96.8,128,10.1,1,6,0,29.1,17.9,42.3,170.3
,89.9,124,10.2,2,6,0,31,20,40.1,164.1
,110.8,116.8,6.6,1,7,1,22,9,27.9,144.7
,98.1,73.4,46.5,3,5,1,19.6,25.8,58.7,132.1
CW,58.7,103.5,14.1,2,5,0,31.4,17.8,54.5,158
,82.3,59.1,36.5,3,2,0,16.2,22.8,50.4,109.5
,87.7,90.6,33.6,4,4,0,23.6,28,60.9,151.5
,70.7,114.5,25.2,3,3,0,25.9,15.3,46.3,160.8
,91.2,90.6,15,3,4,0,25,10.8,27.5,118.1
,99.4,103.4,10.9,1,5,0,25.8,11.6,19.3,122.7
,80.5,94.4,0,0,4,0,23.4,0,0,94.4
,85.6,91.3,15.6,2,4,0,22,18.9,25.1,116.4
,112.5,85.5,0,0,6,1,18.3,3.5,5,90.5
,106.1,75.2,0,0,3,0,21.2,2,2,77.2
JM,95.4,118.7,3,1,4,0,30,12.5,32.6,151.3
,113.5,104.8,28.7,3,5,1,29,25.1,54.4,159.2
,84.9,113.7,27.5,2,5,0,28.1,19.1,45.6,159.3
,116.9,58.8,0,0,1,1,27.1,26.5,31.6,90.4
,76.6,99.6,12.5,2,6,0,19.2,13.4,36,135.6
,45.8,63.7,19.7,3,3,0,12.7,11.5,42.1,105.8
,86.6,58.3,6.5,2,3,0,15,16.1,33.2,91.5
